Object name,Reviewed,Valid Name,Original category (auto),ID (auto),New Category,Original Synset (auto),New Synset (auto),Exists in deletion?
box_of_cookie-fzlaol,1,1,box_of_cookie,fzlaol,box_of_cookies,#N/A,box__of__cookies.n.01,0
box_of_cookie-hdgsxz,1,1,box_of_cookie,hdgsxz,box_of_cookies,#N/A,box__of__cookies.n.01,0
box_of_cookie-jtalxs,1,1,box_of_cookie,jtalxs,box_of_cookies,#N/A,box__of__cookies.n.01,0
box_of_cookie-lwhbid,1,1,box_of_cookie,lwhbid,box_of_cookies,#N/A,box__of__cookies.n.01,0
box_of_cookie-nirfva,1,1,box_of_cookie,nirfva,box_of_cookies,#N/A,box__of__cookies.n.01,0
box_of_cookie-nnfisz,1,1,box_of_cookie,nnfisz,box_of_cookies,#N/A,box__of__cookies.n.01,0
box_of_cookie-ohhshb,1,1,box_of_cookie,ohhshb,box_of_cookies,#N/A,box__of__cookies.n.01,0
box_of_cookie-qkzrdd,1,1,box_of_cookie,qkzrdd,box_of_cookies,#N/A,box__of__cookies.n.01,0
box_of_cookie-sjcnoq,1,1,box_of_cookie,sjcnoq,box_of_cookies,#N/A,box__of__cookies.n.01,0
box_of_cookie-swilxz,1,1,box_of_cookie,swilxz,box_of_cookies,#N/A,box__of__cookies.n.01,0
box_of_corn_flake-zbwzkq,1,1,box_of_corn_flake,zbwzkq,box_of_corn_flakes,#N/A,box__of__corn_flakes.n.01,0
box_of_granola_bar-awombj,1,1,box_of_granola_bar,awombj,box_of_granola_bars,#N/A,box__of__granola_bars.n.01,0
box_of_granola_bar-bqeeki,1,1,box_of_granola_bar,bqeeki,box_of_granola_bars,#N/A,box__of__granola_bars.n.01,0
box_of_granola_bar-tqwhvz,1,1,box_of_granola_bar,tqwhvz,box_of_granola_bars,#N/A,box__of__granola_bars.n.01,0
box_of_sanitary_napkin-acaivd,1,1,box_of_sanitary_napkin,acaivd,box_of_sanitary_napkins,#N/A,box__of__sanitary_napkin.n.01,0
box_of_sanitary_napkin-arqcyu,1,1,box_of_sanitary_napkin,arqcyu,box_of_sanitary_napkins,#N/A,box__of__sanitary_napkin.n.01,0
box_of_sanitary_napkin-cmnpuv,1,1,box_of_sanitary_napkin,cmnpuv,box_of_sanitary_napkins,#N/A,box__of__sanitary_napkin.n.01,0
box_of_sanitary_napkin-frdbld,1,1,box_of_sanitary_napkin,frdbld,paper_towel_dispenser,#N/A,paper_towel_dispenser.n.01,0
box_of_sanitary_napkin-humkqw,1,1,box_of_sanitary_napkin,humkqw,box_of_sanitary_napkins,#N/A,box__of__sanitary_napkin.n.01,0
box_of_sanitary_napkin-mxdefq,1,1,box_of_sanitary_napkin,mxdefq,box_of_sanitary_napkins,#N/A,box__of__sanitary_napkin.n.01,0
box_of_sanitary_napkin-skltgp,1,1,box_of_sanitary_napkin,skltgp,box_of_sanitary_napkins,#N/A,box__of__sanitary_napkin.n.01,0
box_of_sanitary_napkin-tkrzkb,1,1,box_of_sanitary_napkin,tkrzkb,box_of_sanitary_napkins,#N/A,box__of__sanitary_napkin.n.01,0
box_of_sanitary_napkin-ykpeja,1,1,box_of_sanitary_napkin,ykpeja,box_of_sanitary_napkins,#N/A,box__of__sanitary_napkin.n.01,0
box_of_sanitary_napkin-zqinib,1,1,box_of_sanitary_napkin,zqinib,box_of_sanitary_napkins,#N/A,box__of__sanitary_napkin.n.01,0
box_of_tissue-ntbrtz,1,1,box_of_tissue,ntbrtz,box_of_tissues,#N/A,box__of__tissue.n.01,0
box_of_tissue-uglbjc,1,1,box_of_tissue,uglbjc,box_of_tissues,#N/A,box__of__tissue.n.01,0
box_of_tissue-xwstls,1,1,box_of_tissue,xwstls,box_of_tissues,#N/A,box__of__tissue.n.01,0
box_of_tissue-zutrxn,1,1,box_of_tissue,zutrxn,box_of_tissues,#N/A,box__of__tissue.n.01,0
butter-oixapu,1,1,butter,oixapu,box_of_butter,butter.n.01,box__of__butter.n.01,0
candy_box-gvreky,1,1,candy_box,gvreky,box_of_candy,#N/A,box__of__candy.n.01,0
canned_corn-pddtfk,1,1,canned_corn,pddtfk,can_of_corn,#N/A,can__of__corn.n.01,0
carrot_juice-jkuhio,1,1,carrot_juice,jkuhio,bottle_of_carrot_juice,carrot_juice.n.01,bottle__of__carrot_juice.n.01,0
carrot_juice-wmchsj,1,1,carrot_juice,wmchsj,bottle_of_carrot_juice,carrot_juice.n.01,bottle__of__carrot_juice.n.01,0
catsup-ahoiqe,1,1,catsup,ahoiqe,bottle_of_catsup,catsup.n.01,bottle__of__catsup.n.01,0
catsup-dmyfdf,1,1,catsup,dmyfdf,bottle_of_catsup,catsup.n.01,bottle__of__catsup.n.01,0
catsup-ialodu,1,1,catsup,ialodu,bottle_of_catsup,catsup.n.01,bottle__of__catsup.n.01,0
ceiling_ac-hapein,1,1,ceiling_ac,hapein,ceiling_air_conditioner,#N/A,air_conditioner.n.01,0
ceiling-emjfnt,1,1,ceiling,emjfnt,ceilings,#N/A,ceiling.n.01,0
ceiling-fagehw,1,1,ceiling,fagehw,ceilings,#N/A,ceiling.n.01,0
cereal-hosfhj,1,1,cereal,hosfhj,box_of_cereal,#N/A,box__of__cereal.n.01,0
cereal-ihedod,1,1,cereal,ihedod,box_of_cereal,#N/A,box__of__cereal.n.01,0
cereal-pfwgkm,1,1,cereal,pfwgkm,box_of_cereal,#N/A,box__of__cereal.n.01,0
cereal-qirvmd,1,1,cereal,qirvmd,box_of_cereal,#N/A,box__of__cereal.n.01,0
cereal-sgirte,1,1,cereal,sgirte,box_of_cereal,#N/A,box__of__cereal.n.01,0
cereal-wdkcbu,1,1,cereal,wdkcbu,box_of_cereal,#N/A,box__of__cereal.n.01,0
cereal-wrlalk,1,1,cereal,wrlalk,box_of_cereal,#N/A,box__of__cereal.n.01,0
cereal-ykuyqb,1,1,cereal,ykuyqb,box_of_cereal,#N/A,box__of__cereal.n.01,0
cereal-yorray,1,1,cereal,yorray,box_of_cereal,#N/A,box__of__cereal.n.01,0
champagne_bottle-ahpwlg,1,1,champagne_bottle,ahpwlg,bottle_of_champagne,#N/A,bottle__of__champagne.n.01,0
champagne_bottle-pxaayf,1,1,champagne_bottle,pxaayf,bottle_of_champagne,#N/A,bottle__of__champagne.n.01,0
chip-bryahw,1,1,chip,bryahw,bag_of_chips,chip.n.04,bag__of__chips.n.01,0
chip-dwkdko,1,1,chip,dwkdko,bag_of_chips,chip.n.04,bag__of__chips.n.01,0
chip-ennnjj,1,1,chip,ennnjj,bag_of_chips,chip.n.04,bag__of__chips.n.01,0
chip-jphwer,1,1,chip,jphwer,bag_of_chips,chip.n.04,bag__of__chips.n.01,0
chip-uevvib,1,1,chip,uevvib,bag_of_chips,chip.n.04,bag__of__chips.n.01,0
chip-wnuoym,1,1,chip,wnuoym,bag_of_chips,chip.n.04,bag__of__chips.n.01,0
chocolate_bar-bxgewr,1,1,chocolate_bar,bxgewr,pack_of_chocolate_bar,chocolate_bar.n.01,pack__of__chocolate_bar.n.01,0
chocolate_bar-tidcst,1,1,chocolate_bar,tidcst,pack_of_chocolate_bar,chocolate_bar.n.01,pack__of__chocolate_bar.n.01,0
chocolate_bar-wgrkhn,1,1,chocolate_bar,wgrkhn,pack_of_chocolate_bar,chocolate_bar.n.01,pack__of__chocolate_bar.n.01,0
chocolate_box-dlhqft,1,1,chocolate_box,dlhqft,box_of_chocolates,#N/A,box__of__chocolates.n.01,0
chocolate_box-jodwfv,1,1,chocolate_box,jodwfv,box_of_chocolates,#N/A,box__of__chocolates.n.01,0
chocolate_box-mlmrwy,1,1,chocolate_box,mlmrwy,box_of_chocolates,#N/A,box__of__chocolates.n.01,0
cutting_board-cvkfkz,1,1,cutting_board,cvkfkz,chopping_block,chopping_board.n.01,chopping_block.n.01,0
cigarette_pack-ajphvf,1,1,cigarette_pack,ajphvf,pack_of_cigarettes,#N/A,pack__of__cigarettes.n.01,0
cigarette_pack-cfmlhf,1,1,cigarette_pack,cfmlhf,pack_of_cigarettes,#N/A,pack__of__cigarettes.n.01,0
cigarette_pack-dthkix,1,1,cigarette_pack,dthkix,pack_of_cigarettes,#N/A,pack__of__cigarettes.n.01,0
cigarette_pack-ghbqav,1,1,cigarette_pack,ghbqav,pack_of_cigarettes,#N/A,pack__of__cigarettes.n.01,0
cigarette_pack-gzxueq,1,1,cigarette_pack,gzxueq,pack_of_cigarettes,#N/A,pack__of__cigarettes.n.01,0
cigarette_pack-hmhqkq,1,1,cigarette_pack,hmhqkq,pack_of_cigarettes,#N/A,pack__of__cigarettes.n.01,0
cigarette_pack-ipmejr,1,1,cigarette_pack,ipmejr,pack_of_cigarettes,#N/A,pack__of__cigarettes.n.01,0
cigarette_pack-kienyo,1,1,cigarette_pack,kienyo,pack_of_cigarettes,#N/A,pack__of__cigarettes.n.01,0
cigarette_pack-ohpqua,1,1,cigarette_pack,ohpqua,pack_of_cigarettes,#N/A,pack__of__cigarettes.n.01,0
cigarette_pack-ppbmak,1,1,cigarette_pack,ppbmak,pack_of_cigarettes,#N/A,pack__of__cigarettes.n.01,0
cigarette_pack-qabdgg,1,1,cigarette_pack,qabdgg,pack_of_cigarettes,#N/A,pack__of__cigarettes.n.01,0
cigarette_pack-qldhnm,1,1,cigarette_pack,qldhnm,pack_of_cigarettes,#N/A,pack__of__cigarettes.n.01,0
cigarette_pack-rmrubd,1,1,cigarette_pack,rmrubd,pack_of_cigarettes,#N/A,pack__of__cigarettes.n.01,0
cigarette_pack-tngixy,1,1,cigarette_pack,tngixy,pack_of_cigarettes,#N/A,pack__of__cigarettes.n.01,0
cigarette_pack-wjfbhw,1,1,cigarette_pack,wjfbhw,pack_of_cigarettes,#N/A,pack__of__cigarettes.n.01,0
cigarette_pack-wpmpcf,1,1,cigarette_pack,wpmpcf,pack_of_cigarettes,#N/A,pack__of__cigarettes.n.01,0
clam-nekgsq,1,1,clam,nekgsq,seashell,clam.n.03,seashell.n.01,0
coconut_water-lsixio,1,1,coconut_water,lsixio,bottle_of_coconut_water,#N/A,bottle__of__coconut_water.n.01,0
coffee_box-mreyla,1,1,coffee_box,mreyla,box_of_coffee,#N/A,box__of__coffee.n.01,0
coffee_box-poteji,1,1,coffee_box,poteji,box_of_coffee,#N/A,box__of__coffee.n.01,0
conditioner-elofnb,1,1,conditioner,elofnb,conditioner_dispenser,conditioner.n.03,conditioner__dispenser.n.01,0
conditioner-udeflt,1,1,conditioner,udeflt,conditioner_dispenser,conditioner.n.03,conditioner__dispenser.n.01,0
conditioner-uncljo,1,1,conditioner,uncljo,conditioner_dispenser,conditioner.n.03,conditioner__dispenser.n.01,0
cooking_oil-ywrkyg,1,1,cooking_oil,ywrkyg,bottle_of_cooking_oil,cooking_oil.n.01,bottle__of__cooking_oil.n.01,0
crate-cjhskr,1,1,crate,cjhskr,packing_box,#N/A,packing_box.n.02,0
creamer_single-njrpai,1,1,creamer_single,njrpai,box_of_cream,#N/A,box__of__cream.n.01,0
yogurt_cup-rypdvd,1,1,yogurt_cup,rypdvd,coffee_cup,#N/A,coffee_cup.n.01,0
dryer-jasnzj,1,1,dryer,jasnzj,clothes_dryer,#N/A,clothes_dryer.n.01,0
egg_carton-rixhgu,1,1,egg_carton,rixhgu,carton_of_eggs,#N/A,carton__of__eggs.n.01,0
egg_carton-stxfxb,1,1,egg_carton,stxfxb,carton_of_eggs,#N/A,carton__of__eggs.n.01,0
egg_carton-tacdgl,1,1,egg_carton,tacdgl,carton_of_eggs,#N/A,carton__of__eggs.n.01,0
floor_hanger-tcnxtu,1,1,floor_hanger,tcnxtu,coatrack,#N/A,coatrack.n.01,0
flour-fntqmd,1,1,flour,fntqmd,bag_of_flour,flour.n.01,bag__of__flour.n.01,0
fruit_punch-azcigi,1,1,fruit_punch,azcigi,bottle_of_fruit_punch,fruit_punch.n.01,bottle__of__fruit_punch.n.01,0
fruit_punch-ykfnwi,1,1,fruit_punch,ykfnwi,bottle_of_fruit_punch,fruit_punch.n.01,bottle__of__fruit_punch.n.01,0
garlic_sauce-ucnmax,1,1,garlic_sauce,ucnmax,bottle_of_garlic_sauce,#N/A,bottle__of__garlic_sauce.n.01,0
ginger_beer-zkocwb,1,1,ginger_beer,zkocwb,bottle_of_ginger_beer,ginger_beer.n.01,bottle__of__ginger_beer.n.01,0
diced_green_onion-fjafda,1,1,diced_green_onion,fjafda,diced__green_onion,#N/A,diced__green_onion.n.01,0
diced_green_onion-iwoaoo,1,1,diced_green_onion,iwoaoo,diced__green_onion,#N/A,diced__green_onion.n.01,0
diced_green_onion-lwuaas,1,1,diced_green_onion,lwuaas,diced__green_onion,#N/A,diced__green_onion.n.01,0
hamburger-rerdmy,1,1,hamburger,rerdmy,wrapped_hamburger,hamburger.n.01,wrapped_hamburger.n.01,0
coatrack-mdnfjr,1,1,coatrack,mdnfjr,hall_tree,coatrack.n.01,hallstand.n.01,0
hot_sauce-zqhkzh,1,1,hot_sauce,zqhkzh,bottle_of_hot_sauce,hot_sauce.n.01,bottle__of__hot_sauce.n.01,0
isopropanol-mjcbfc,1,1,isopropanol,mjcbfc,isopropanol_dispenser,isopropyl_alcohol.n.01,isopropanol__dispenser.n.01,0
lemon_sauce-iyijeb,1,1,lemon_sauce,iyijeb,bottle_of_lemon_sauce,#N/A,bottle__of__lemon_sauce.n.01,0
lime_juice-ouuhaa,1,1,lime_juice,ouuhaa,bottle_of_lime_juice,lime_juice.n.01,bottle__of__lime_juice.n.01,0
sliced_lime-wdadtn,1,1,sliced_lime,wdadtn,half_lime,sliced__lime.n.01,half__lime.n.01,0
lotion-tkryrh,1,1,lotion,tkryrh,bottle_of_lotion,lotion.n.01,bottle__of__lotion.n.01,0
mayonnaise-gjwjet,1,1,mayonnaise,gjwjet,bottle_of_mayonnaise,mayonnaise.n.01,bottle__of__mayonnaise.n.01,0
mix-blrqqz,1,1,mix,blrqqz,can_of_baking_mix,#N/A,can__of__baking_mix.n.01,0
mix-fmewsz,1,1,mix,fmewsz,box_of_baking_mix,#N/A,box__of__baking_mix.n.01,0
mix-fnbgwd,1,1,mix,fnbgwd,box_of_baking_mix,#N/A,box__of__baking_mix.n.01,0
mix-fpbxfp,1,1,mix,fpbxfp,can_of_baking_mix,#N/A,can__of__baking_mix.n.01,0
mix-lgusnr,1,1,mix,lgusnr,box_of_baking_mix,#N/A,box__of__baking_mix.n.01,0
mix-ltccey,1,1,mix,ltccey,box_of_baking_mix,#N/A,box__of__baking_mix.n.01,0
mix-luwlfd,1,1,mix,luwlfd,box_of_baking_mix,#N/A,box__of__baking_mix.n.01,0
mix-ohtiap,1,1,mix,ohtiap,can_of_baking_mix,#N/A,can__of__baking_mix.n.01,0
mix-orwvfx,1,1,mix,orwvfx,can_of_baking_mix,#N/A,can__of__baking_mix.n.01,0
mix-qkvqkm,1,1,mix,qkvqkm,box_of_baking_mix,#N/A,box__of__baking_mix.n.01,0
mix-rxorlp,1,1,mix,rxorlp,can_of_baking_mix,#N/A,can__of__baking_mix.n.01,0
mix-uhvkxj,1,1,mix,uhvkxj,can_of_baking_mix,#N/A,can__of__baking_mix.n.01,0
mix-xcxrek,1,1,mix,xcxrek,box_of_baking_mix,#N/A,box__of__baking_mix.n.01,0
mix-xefopo,1,1,mix,xefopo,can_of_baking_mix,#N/A,can__of__baking_mix.n.01,0
mushroom_sauce-xamfxi,1,1,mushroom_sauce,xamfxi,bottle_of_mushroom_sauce,#N/A,bottle__of__mushroom_sauce.n.01,0
mustard-qbbqat,1,1,mustard,qbbqat,bottle_of_mustard,mustard.n.02,bottle__of__mustard.n.01,0
oatmeal-qyukhm,1,1,oatmeal,qyukhm,can_of_oatmeal,oatmeal.n.01,can__of__oatmeal.n.01,0
olive_oil-ajswsh,1,1,olive_oil,ajswsh,bottle_of_olive_oil,olive_oil.n.01,bottle__of__olive_oil.n.01,0
olive_oil-jocrsz,1,1,olive_oil,jocrsz,bottle_of_olive_oil,olive_oil.n.01,bottle__of__olive_oil.n.01,0
olive_oil-ksxqkk,1,1,olive_oil,ksxqkk,bottle_of_olive_oil,olive_oil.n.01,bottle__of__olive_oil.n.01,0
olive_oil-wztvie,1,1,olive_oil,wztvie,bottle_of_olive_oil,olive_oil.n.01,bottle__of__olive_oil.n.01,0
orange_sauce-xfxfig,1,1,orange_sauce,xfxfig,jar_of_orange_sauce,#N/A,jar__of__orange_sauce.n.01,0
paint_bucket-qbqche,1,1,paint_bucket,qbqche,bucket_of_paint,#N/A,bucket__of__paint.n.01,0
pesto-hyeetr,1,1,pesto,hyeetr,bottle_of_pesto,pesto.n.01,bottle__of__pesto.n.01,0
pool-kohria,1,1,pool,kohria,swimming_pool,#N/A,swimming_pool.n.01,0
pool-qjhauf,1,1,pool,qjhauf,swimming_pool,#N/A,swimming_pool.n.01,0
pool-vnvmkx,1,1,pool,vnvmkx,swimming_pool,#N/A,swimming_pool.n.01,0
pop_bottle-cmqubs,1,1,pop_bottle,cmqubs,bottle_of_pop,#N/A,bottle__of__pop.n.01,0
pop_bottle-eyazzi,1,1,pop_bottle,eyazzi,bottle_of_pop,#N/A,bottle__of__pop.n.01,0
pop_bottle-gkwdyt,1,1,pop_bottle,gkwdyt,bottle_of_pop,#N/A,bottle__of__pop.n.01,0
pop_bottle-iynssk,1,1,pop_bottle,iynssk,bottle_of_pop,#N/A,bottle__of__pop.n.01,0
pop_bottle-tfvmik,1,1,pop_bottle,tfvmik,bottle_of_pop,#N/A,bottle__of__pop.n.01,0
pop_bottle-twtsry,1,1,pop_bottle,twtsry,bottle_of_pop,#N/A,bottle__of__pop.n.01,0
pop_bottle-uwdeok,1,1,pop_bottle,uwdeok,bottle_of_pop,#N/A,bottle__of__pop.n.01,0
pop_bottle-wuuoes,1,1,pop_bottle,wuuoes,bottle_of_pop,#N/A,bottle__of__pop.n.01,0
pop_bottle-xvxcvv,1,1,pop_bottle,xvxcvv,bottle_of_pop,#N/A,bottle__of__pop.n.01,0
pop_bottle-zjbqvb,1,1,pop_bottle,zjbqvb,bottle_of_pop,#N/A,bottle__of__pop.n.01,0
pop_bottle-zsisxf,1,1,pop_bottle,zsisxf,bottle_of_pop,#N/A,bottle__of__pop.n.01,0
pop-evcxlr,1,1,pop,evcxlr,bottle_of_pop,#N/A,bottle__of__pop.n.01,0
pop-frewxk,1,1,pop,frewxk,bottle_of_pop,#N/A,bottle__of__pop.n.01,0
pop-lugwcz,1,1,pop,lugwcz,bottle_of_pop,#N/A,bottle__of__pop.n.01,0
pop-wbrrad,1,1,pop,wbrrad,bottle_of_pop,#N/A,bottle__of__pop.n.01,0
pop-xmjfcg,1,1,pop,xmjfcg,bottle_of_pop,#N/A,bottle__of__pop.n.01,0
ramekin-belcml,1,1,ramekin,belcml,bowl,#N/A,bowl.n.01,0
ramekin-eawgwj,1,1,ramekin,eawgwj,bowl,#N/A,bowl.n.01,0
rice_bag-eddcjz,1,1,rice_bag,eddcjz,bag_of_rice,#N/A,bag__of__rice.n.01,0
rice_bag-jzjqjb,1,1,rice_bag,jzjqjb,bag_of_rice,#N/A,bag__of__rice.n.01,0
rice_bag-xcokwx,1,1,rice_bag,xcokwx,bag_of_rice,#N/A,bag__of__rice.n.01,0
rice_box-fvulow,1,1,rice_box,fvulow,box_of_rice,#N/A,box__of__rice.n.01,0
rice_box-pstqvm,1,1,rice_box,pstqvm,box_of_rice,#N/A,box__of__rice.n.01,0
rice_box-yyheuw,1,1,rice_box,yyheuw,box_of_rice,#N/A,box__of__rice.n.01,0
rum_bottle-rduqdf,1,1,rum_bottle,rduqdf,bottle_of_rum,rum__bottle.n.01,bottle__of__rum.n.01,0
sake_bottle-hbpenm,1,1,sake_bottle,hbpenm,bottle_of_sake,#N/A,bottle__of__sake.n.01,0
sake_bottle-luadgb,1,1,sake_bottle,luadgb,bottle_of_sake,#N/A,bottle__of__sake.n.01,0
sake_bottle-mvvomd,1,1,sake_bottle,mvvomd,bottle_of_sake,#N/A,bottle__of__sake.n.01,0
sake_bottle-pwtebq,1,1,sake_bottle,pwtebq,bottle_of_sake,#N/A,bottle__of__sake.n.01,0
sake_bottle-rctijo,1,1,sake_bottle,rctijo,bottle_of_sake,#N/A,bottle__of__sake.n.01,0
sake_bottle-swlykk,1,1,sake_bottle,swlykk,bottle_of_sake,#N/A,bottle__of__sake.n.01,0
sake_bottle-utwglw,1,1,sake_bottle,utwglw,bottle_of_sake,#N/A,bottle__of__sake.n.01,0
sake_bottle-vfxfuj,1,1,sake_bottle,vfxfuj,bottle_of_sake,#N/A,bottle__of__sake.n.01,0
sake_bottle-zrkfim,1,1,sake_bottle,zrkfim,bottle_of_sake,#N/A,bottle__of__sake.n.01,0
scissors-glbxff,1,1,scissors,glbxff,shears,#N/A,shears.n.01,0
shampoo-eblcnw,1,1,shampoo,eblcnw,shampoo_dispenser,shampoo.n.01,shampoo__dispenser.n.01,0
shampoo-lvvkhx,1,1,shampoo,lvvkhx,bottle_of_shampoo,shampoo.n.01,bottle__of__shampoo.n.01,0
shampoo-ndrvvm,1,1,shampoo,ndrvvm,shampoo_dispenser,shampoo.n.01,shampoo__dispenser.n.01,0
shampoo-stjjjm,1,1,shampoo,stjjjm,bottle_of_shampoo,shampoo.n.01,bottle__of__shampoo.n.01,0
